year,brand,country,vehicles
2017,Toyota,Japan,10466051
2017,Volkswagen Group,Germany,10382334
2017,Hyundai / Kia,South Korea,7218391
2017,General Motors,United States,6856880
2017,Ford,United States,6386818
2017,Nissan,Japan,5769277
2017,Honda,Japan,5235842
2017,Renault,France,4153589
2017,PSA Peugeot Citroën,France,3649742
2017,Suzuki,Japan,3302336
2017,SAIC,China,2866913
2017,Daimler,Germany,2549142
2017,BMW,Germany,2505741
2017,Changan,China,1616457
2017,Mazda,Japan,1607602
2017,Dongfeng,China,1450999
2016,Toyota,Japan,10213486
2016,Volkswagen Group,Germany,10126281
2016,Hyundai / Kia,South Korea,7889538
2016,General Motors,United States,7793066
2016,Ford,United States,6457773
2016,Nissan,Japan,5556241
2016,Honda,Japan,4999266
2016,Renault,France,3373278
2016,PSA Peugeot Citroën,France,3152787
2016,Suzuki,Japan,2945295
2016,SAIC,China,2564786
2016,Daimler,Germany,2526450
2016,BMW,Germany,2359756
2016,Changan,China,1715871
2016,Mazda,Japan,1586013
2016,Dongfeng,China,1315490
2015,Toyota,Japan,10083831
2015,Volkswagen Group,Germany,9872424
2015,Hyundai / Kia,South Korea,7988479
2015,General Motors,United States,7485587
2015,Ford,United States,6396369
2015,Nissan,Japan,5170074
2015,Honda,Japan,4543838
2015,Suzuki,Japan,3034081
2015,Renault,France,3032652
2015,PSA Peugeot Citroën,France,2982035
2015,BMW,Germany,2279503
2015,SAIC,China,2260579
2015,Daimler,Germany,2134645
2015,Mazda,Japan,1540576
2015,Changan,China,1540133
2015,Dongfeng,China,1209296
2014,Toyota,Japan,10475338
2014,Volkswagen Group,Germany,9894891
2014,General Motors,United States,9609326
2014,Hyundai / Kia,South Korea,8008987
2014,Ford,United States,5969541
2014,Nissan,Japan,5097772
2014,Honda,Japan,4513769
2014,Suzuki,Japan,3016710
2014,PSA Peugeot Citroën,France,2917046
2014,Renault,France,2761969
2014,BMW,Germany,2165566
2014,SAIC,China,2087949
2014,Daimler,Germany,1973270
2014,Changan,China,1447017
2014,Mazda,Japan,1328426
2014,Dongfeng,China,1301695
2013,Toyota,Japan,10324995
2013,General Motors,United States,9628912
2013,Volkswagen Group,Germany,9379229
2013,Hyundai / Kia,South Korea,7233080
2013,Ford,United States,6077126
2013,Nissan,Japan,4950924
2013,Honda,Japan,4298390
2013,Suzuki,Japan,2842133
2013,PSA Peugeot Citroën,France,2833781
2013,Renault,France,2704675
2013,BMW,Germany,2006366
2013,SAIC,China,1992250
2013,Daimler,Germany,1781507
2013,Mazda,Japan,1264173
2013,Dongfeng,China,1238948
2013,Changan,China,1109889
2012,Toyota,Japan,10104424
2012,General Motors,United States,9285425
2012,Volkswagen Group,Germany,9254742
2012,Hyundai / Kia,South Korea,7126413
2012,Ford,United States,5595483
2012,Nissan,Japan,4889379
2012,Honda,Japan,4110857
2012,PSA Peugeot Citroën,France,2911764
2012,Suzuki,Japan,2893602
2012,Renault,France,2676226
2012,Daimler,Germany,2195152
2012,BMW,Germany,2065477
2012,SAIC,China,1783548
2012,Mazda,Japan,1189283
2012,Dongfeng,China,1137950
2012,Changan,China,1063721
